participant,word_count_noStop_noFiller,sentence_count,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NNP,NNPS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,nouns,verbs,adjectives,adverbs,pronouns,conjunctions,prepositions,interjections,articles,nouns_to_verbs_ratio,content_words_prop,function_words_prop,pronouns_to_nouns_ratio,temporal_connectives_count,causal_connectives_count,GroupNumber,TaskOrder
213,261,40,54,1,97,6,0,46,70,5,0,0,0,122,14,1,0,0,0,21,2,55,0,0,8,0,20,7,12,13,9,7,13,41,4,0,0,3,0.18050065876152832,0.1251646903820817,0.09881422924901186,0.07246376811594203,0.030303030303030304,0.07114624505928854,0.06060606060606061,0.00922266139657444,0.12779973649538867,1.4421052631578946,0.47694334650856385,0.2898550724637681,0.16788321167883213,23,8,group1,"movie, physical, social"
214,209,33,48,0,65,7,0,75,42,0,0,0,12,91,24,0,0,1,0,25,6,52,0,0,5,0,3,4,19,36,13,2,6,10,3,3,1,3,0.17611026033690658,0.13169984686064318,0.06431852986217458,0.07963246554364471,0.05359877488514548,0.07350689127105667,0.11485451761102604,0.006125574272588055,0.0995405819295559,1.3372093023255813,0.45176110260336905,0.34150076569678406,0.30434782608695654,17,12,group1,"movie, physical, social"
215,65,8,15,0,23,1,0,14,9,0,0,0,0,23,2,0,0,0,0,9,0,18,0,0,0,0,4,1,2,16,8,1,0,1,3,0,0,2,0.14705882352941177,0.16470588235294117,0.052941176470588235,0.10588235294117647,0.052941176470588235,0.08823529411764706,0.08235294117647059,0.0058823529411764705,0.13529411764705881,0.8928571428571429,0.47058823529411764,0.35882352941176465,0.36,7,1,group1,"movie, physical, social"
216,64,11,19,1,15,0,0,23,13,2,0,0,0,22,3,1,0,0,0,19,3,14,0,0,0,0,4,5,9,23,8,1,9,0,0,0,0,1,0.10699588477366255,0.205761316872428,0.06172839506172839,0.05761316872427984,0.09053497942386832,0.07818930041152264,0.09465020576131687,0.0205761316872428,0.06172839506172839,0.52,0.4320987654320988,0.32510288065843623,0.8461538461538463,7,0,group1,"movie, physical, social"
217,234,29,48,8,69,3,0,58,45,10,0,0,4,90,20,0,0,0,0,43,3,36,1,0,4,0,2,1,11,1,10,2,18,33,0,2,0,3,0.18181818181818182,0.12396694214876033,0.09090909090909091,0.06115702479338843,0.07933884297520662,0.07933884297520662,0.09586776859504133,0.001652892561983471,0.1140495867768595,1.4666666666666666,0.4578512396694215,0.3685950413223141,0.4363636363636364,4,0,group1,"movie, physical, social"
218,155,20,17,3,71,1,0,49,8,8,0,0,7,67,12,0,0,0,0,8,0,27,0,0,1,0,6,22,10,23,7,1,5,2,0,1,0,2,0.17752808988764046,0.10786516853932585,0.035955056179775284,0.060674157303370786,0.020224719101123594,0.038202247191011236,0.1101123595505618,0.04943820224719101,0.15955056179775282,1.6458333333333335,0.38202247191011235,0.32808988764044944,0.11392405063291138,12,1,group1,"movie, physical, social"
221,161,32,28,4,41,2,0,32,15,0,0,0,1,59,14,0,0,0,0,41,12,31,1,0,8,0,14,1,9,0,3,2,11,49,3,0,0,4,0.16079295154185022,0.16299559471365638,0.03303964757709251,0.07048458149779736,0.11674008810572688,0.06167400881057269,0.07048458149779736,0.0022026431718061676,0.09030837004405286,0.9864864864864865,0.4273127753303964,0.33920704845814975,0.726027397260274,8,1,group2,"social, physical, movie"
222,276,44,59,5,109,0,0,65,28,1,0,0,2,128,21,0,0,0,0,49,12,36,0,0,8,0,16,0,6,2,5,2,15,64,1,0,0,2,0.20868347338935575,0.13165266106442577,0.04061624649859944,0.05042016806722689,0.08543417366946779,0.08263305322128851,0.09103641456582633,0.0,0.15266106442577032,1.5851063829787233,0.43137254901960786,0.411764705882353,0.40939597315436244,20,2,group2,"social, physical, movie"
223,229,41,31,7,77,2,0,51,25,2,0,0,2,97,15,0,0,0,0,35,14,49,0,0,8,0,22,7,17,63,12,3,3,1,8,4,0,5,0.17418351477449456,0.15396578538102643,0.041990668740279936,0.07620528771384137,0.08242612752721618,0.04821150855365474,0.07931570762052877,0.01088646967340591,0.11975116640746501,1.1313131313131315,0.44634525660964236,0.3297045101088647,0.4732142857142857,13,7,group2,"social, physical, movie"
224,136,35,13,1,36,2,0,22,5,0,0,0,2,56,5,0,0,0,0,48,14,33,0,0,7,0,7,0,13,1,8,3,6,50,0,0,0,3,0.15211970074812967,0.20199501246882792,0.012468827930174564,0.08229426433915212,0.1546134663341646,0.032418952618453865,0.05486284289276808,0.0,0.08977556109725686,0.7530864197530864,0.44887780548628425,0.3316708229426434,1.0163934426229508,4,1,group2,"social, physical, movie"
225,200,39,38,3,59,3,0,54,44,0,0,0,0,84,14,2,0,0,0,38,12,42,1,0,5,0,12,13,12,6,8,1,16,36,2,1,0,2,0.16420361247947454,0.1297208538587849,0.0722495894909688,0.07060755336617405,0.08374384236453201,0.06239737274220033,0.08866995073891626,0.021346469622331693,0.09688013136288999,1.2658227848101264,0.4367816091954023,0.33169129720853857,0.51,5,4,group2,"social, physical, movie"
226,269,48,72,9,55,2,0,46,36,2,0,0,4,90,22,0,0,0,0,63,16,64,0,0,12,0,22,6,23,3,11,2,21,63,1,1,0,2,0.1471747700394218,0.1616294349540079,0.04993429697766097,0.08409986859395532,0.10512483574244415,0.09461235216819974,0.06044678055190539,0.00788436268068331,0.07227332457293036,0.9105691056910569,0.44283837056504605,0.3324572930354796,0.7142857142857143,27,5,group2,"social, movie, physical"
227,183,29,51,6,56,2,0,37,23,0,0,0,1,71,13,4,0,0,0,39,11,31,0,0,6,0,10,0,9,2,10,1,8,49,1,1,0,2,0.17254901960784313,0.15490196078431373,0.045098039215686274,0.060784313725490195,0.1,0.1,0.07254901960784314,0.0,0.10980392156862745,1.1139240506329113,0.43333333333333335,0.3823529411764706,0.5795454545454546,16,2,group2,"social, movie, physical"
228,284,40,55,6,111,1,0,58,25,0,0,0,1,122,23,2,0,1,0,38,11,40,0,0,7,0,26,2,21,2,5,5,14,64,2,3,0,1,0.2061711079943899,0.15568022440392706,0.03506311360448808,0.056100981767180924,0.0729312762973352,0.07713884992987377,0.08134642356241234,0.002805049088359046,0.15568022440392706,1.3243243243243243,0.45301542776998593,0.3870967741935484,0.35374149659863946,15,1,group2,"social, movie, physical"
229,137,28,27,6,29,0,0,22,14,0,0,0,2,50,14,0,0,1,0,35,13,35,1,0,4,0,9,1,8,36,7,2,6,4,4,0,0,0,0.16753926701570682,0.1649214659685864,0.03664921465968586,0.09424083769633508,0.1256544502617801,0.07068062827225131,0.05759162303664921,0.002617801047120419,0.07591623036649214,1.0158730158730158,0.46335078534031415,0.3298429319371728,0.7499999999999999,8,2,group2,"social, physical, movie"
230,133,20,26,0,43,0,0,45,23,2,0,0,0,65,9,1,0,0,0,26,15,24,1,0,7,0,10,0,7,2,6,1,3,35,0,4,0,7,0.1820388349514563,0.13106796116504854,0.06067961165048544,0.06067961165048544,0.10922330097087378,0.06310679611650485,0.10922330097087378,0.0,0.10436893203883495,1.3888888888888888,0.43446601941747565,0.3859223300970874,0.6,12,1,group2,"social, physical, movie"
231,152,20,24,3,57,2,0,18,20,0,0,0,2,63,13,1,0,0,0,19,6,23,0,0,6,0,20,2,20,11,5,1,7,23,0,1,0,2,0.1934673366834171,0.16834170854271358,0.05025125628140704,0.05778894472361809,0.06532663316582915,0.06030150753768844,0.04522613065326633,0.005025125628140704,0.14321608040201006,1.1492537313432836,0.46984924623115576,0.31407035175879394,0.33766233766233766,10,1,group2,"social, physical, movie"
232,82,16,30,2,20,3,0,17,6,1,0,0,1,29,4,0,0,0,0,29,6,25,0,0,6,0,8,1,7,0,3,1,7,23,1,0,0,2,0.12643678160919541,0.15708812260536398,0.02681992337164751,0.09578544061302682,0.13409961685823754,0.11494252873563218,0.06513409961685823,0.0038314176245210726,0.07662835249042145,0.804878048780488,0.4061302681992337,0.3908045977011494,1.0606060606060606,15,1,group2,"social, movie, physical"
233,281,50,72,8,71,2,0,53,24,1,0,0,1,93,18,1,0,0,0,71,20,67,0,0,8,0,21,5,20,17,22,4,11,61,0,0,0,0,0.14377406931964057,0.17329910141206675,0.03209242618741977,0.08600770218228498,0.11681643132220795,0.09242618741976893,0.06803594351732992,0.006418485237483954,0.09114249037227215,0.8296296296296296,0.43517329910141206,0.368421052631579,0.8124999999999999,22,3,group2,"social, movie, physical"
234,203,46,47,4,57,2,0,39,22,0,0,0,1,81,14,0,0,0,0,57,19,36,0,0,6,0,17,2,10,3,12,1,9,56,1,1,0,0,0.1623931623931624,0.15555555555555556,0.037606837606837605,0.06153846153846154,0.13162393162393163,0.08034188034188035,0.06666666666666667,0.003418803418803419,0.09743589743589744,1.043956043956044,0.41709401709401706,0.37606837606837606,0.8105263157894737,17,5,group2,"social, movie, physical"
235,350,58,93,5,113,5,0,100,51,0,0,0,3,140,26,2,0,0,0,100,16,83,0,0,19,0,17,6,16,13,25,6,31,76,3,1,0,3,0.15286624203821655,0.15195632393084624,0.04640582347588717,0.07552320291173795,0.10646041856232939,0.08462238398544131,0.09099181073703366,0.00545950864422202,0.10282074613284804,1.0059880239520957,0.4267515923566879,0.3848953594176524,0.6964285714285715,37,7,group2,"social, physical, movie"
236,225,40,58,5,90,2,0,55,30,0,0,0,3,109,13,2,0,0,0,50,11,43,0,0,7,0,13,2,13,2,14,2,21,48,1,0,0,6,0.18208516886930984,0.14684287812041116,0.04405286343612335,0.0631424375917768,0.08957415565345081,0.08516886930983847,0.08076358296622614,0.002936857562408223,0.13215859030837004,1.24,0.43612334801762115,0.3876651982378855,0.49193548387096775,15,1,group2,"social, movie, physical"
237,318,57,74,6,119,5,0,68,22,2,0,0,2,132,22,0,0,0,0,78,12,50,0,0,19,0,22,17,16,6,12,5,20,81,2,0,0,6,0.16885964912280702,0.15350877192982457,0.02631578947368421,0.05482456140350877,0.09868421052631579,0.08114035087719298,0.07456140350877193,0.01864035087719298,0.13048245614035087,1.0999999999999999,0.4035087719298246,0.3848684210526316,0.5844155844155844,23,1,group2,"social, movie, physical"
239,123,17,14,3,45,1,0,25,30,4,0,0,1,52,7,0,0,1,0,7,2,20,0,0,1,0,5,0,5,20,3,3,9,4,3,0,0,0,0.19281045751633988,0.1437908496732026,0.1111111111111111,0.06535947712418301,0.029411764705882353,0.0457516339869281,0.08169934640522876,0.0,0.14705882352941177,1.340909090909091,0.5130718954248367,0.303921568627451,0.15254237288135591,8,2,group3,"physical, movie, social"
240,138,18,15,6,57,2,0,50,18,0,0,0,3,60,17,0,0,1,0,6,0,19,0,3,4,0,10,9,8,17,6,4,5,0,3,1,0,0,0.2047872340425532,0.10638297872340426,0.047872340425531915,0.05851063829787234,0.018617021276595744,0.0398936170212766,0.13297872340425532,0.023936170212765957,0.15159574468085107,1.925,0.4175531914893617,0.34308510638297873,0.0909090909090909,3,1,group3,"physical, movie, social"
241,176,25,37,5,70,1,0,44,26,2,0,0,1,79,17,0,0,1,0,11,1,16,0,0,3,0,9,1,4,37,2,5,2,1,2,0,0,1,0.22535211267605634,0.11971830985915492,0.06572769953051644,0.03755868544600939,0.028169014084507043,0.08685446009389672,0.10328638497652583,0.002347417840375587,0.1643192488262911,1.8823529411764708,0.44835680751173707,0.3826291079812207,0.125,7,2,group3,"physical, social, movie"
243,47,8,8,4,21,2,0,12,7,1,0,0,0,26,2,1,0,1,0,4,0,10,0,0,0,0,2,0,1,1,0,1,5,9,5,0,0,0,0.21323529411764705,0.125,0.058823529411764705,0.07352941176470588,0.029411764705882353,0.058823529411764705,0.08823529411764706,0.0,0.15441176470588236,1.7058823529411764,0.4705882352941177,0.33088235294117646,0.13793103448275862,7,1,group3,"physical, movie, social"
244,63,8,15,3,33,5,0,23,12,0,0,0,0,31,6,0,0,1,0,5,0,10,0,0,0,0,1,0,2,2,0,3,6,14,1,0,0,0,0.18316831683168316,0.13366336633663367,0.0594059405940594,0.04950495049504951,0.024752475247524754,0.07425742574257425,0.11386138613861387,0.0,0.16336633663366337,1.3703703703703702,0.42574257425742573,0.37623762376237624,0.13513513513513514,6,1,group3,"physical, movie, social"
245,169,23,35,5,54,7,1,28,34,1,2,0,0,70,14,1,0,0,0,8,0,33,0,0,4,0,4,6,12,7,8,3,9,30,5,1,0,2,0.19813519813519814,0.16083916083916083,0.08624708624708624,0.07692307692307693,0.02097902097902098,0.08158508158508158,0.06526806526806526,0.013986013986013986,0.1258741258741259,1.2318840579710146,0.5221445221445222,0.2937062937062937,0.10588235294117647,10,4,group3,"physical, movie, social"
246,101,15,21,8,34,8,1,39,16,2,0,0,0,37,8,0,0,0,0,4,1,24,0,0,0,0,2,3,5,18,5,3,6,4,2,0,0,0,0.15734265734265734,0.14335664335664336,0.06293706293706294,0.08391608391608392,0.017482517482517484,0.07342657342657342,0.13636363636363635,0.01048951048951049,0.11888111888111888,1.0975609756097562,0.44755244755244755,0.34615384615384615,0.11111111111111112,11,4,group3,"physical, movie, social"
247,94,15,21,6,30,4,1,15,15,0,0,0,0,38,6,1,0,0,0,9,0,28,0,0,0,0,3,2,8,20,9,1,6,4,2,0,0,0,0.17045454545454544,0.18181818181818182,0.056818181818181816,0.10606060606060606,0.03409090909090909,0.07954545454545454,0.056818181818181816,0.007575757575757576,0.11363636363636363,0.9374999999999999,0.5151515151515151,0.28409090909090906,0.2,14,2,group3,"physical, social, movie"
248,105,16,27,5,42,7,0,24,15,3,0,0,2,41,13,1,0,0,0,11,0,20,0,0,1,0,1,0,5,0,3,2,15,15,1,0,0,0,0.1909722222222222,0.1388888888888889,0.0625,0.06944444444444445,0.03819444444444445,0.09375,0.08333333333333333,0.0,0.14583333333333334,1.3749999999999998,0.4618055555555556,0.36111111111111116,0.20000000000000004,11,1,group3,"physical, social, movie"
249,185,18,26,8,56,8,0,48,44,4,1,0,12,61,21,0,0,0,0,16,0,18,0,0,1,0,2,2,22,28,12,8,17,1,2,1,0,1,0.17154811715481172,0.18410041841004185,0.10251046025104603,0.03765690376569038,0.03556485355648536,0.05439330543933055,0.100418410041841,0.0041841004184100415,0.11715481171548117,0.9318181818181818,0.49581589958158995,0.30753138075313813,0.20731707317073172,6,4,group3,"physical, movie, social"
250,47,5,11,2,20,0,0,16,9,1,0,0,0,21,7,0,0,0,0,2,0,3,0,0,0,0,0,2,0,7,2,1,1,0,0,0,0,1,0.23529411764705882,0.09243697478991597,0.08403361344537816,0.025210084033613446,0.01680672268907563,0.09243697478991597,0.13445378151260504,0.01680672268907563,0.16806722689075632,2.5454545454545454,0.4369747899159664,0.4117647058823529,0.07142857142857142,2,0,group3,"physical, social, movie"
251,89,14,16,0,29,2,0,24,14,0,0,0,3,33,6,0,0,1,0,9,0,14,0,0,0,0,2,1,6,12,13,1,5,4,4,1,0,0,0.16810344827586207,0.17672413793103448,0.0603448275862069,0.0603448275862069,0.04310344827586207,0.06896551724137931,0.10344827586206896,0.004310344827586207,0.125,0.951219512195122,0.4655172413793104,0.34051724137931033,0.25641025641025644,7,2,group3,"physical, social, movie"
252,43,9,12,4,18,5,0,13,13,0,0,0,0,25,0,0,0,0,0,1,0,10,0,0,1,0,0,1,2,10,2,1,6,0,1,0,0,0,0.1724137931034483,0.14482758620689656,0.0896551724137931,0.06896551724137931,0.006896551724137931,0.08275862068965517,0.0896551724137931,0.006896551724137931,0.12413793103448276,1.1904761904761905,0.4758620689655173,0.30344827586206896,0.039999999999999994,2,1,group3,"physical, movie, social"
253,138,17,31,0,39,1,0,48,33,1,0,0,5,70,7,0,0,0,0,20,0,21,0,0,1,0,2,10,11,20,12,1,12,4,2,1,0,0,0.17620137299771166,0.13729977116704806,0.07780320366132723,0.04805491990846682,0.04805491990846682,0.07093821510297482,0.10983981693363844,0.02288329519450801,0.08924485125858124,1.2833333333333332,0.43935926773455375,0.3180778032036613,0.2727272727272727,9,3,group3,"physical, social, movie"
